state,Moisture,Vol,Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Total Sulfur,Sulfate S,Pyr S,Org S,Hocbtu
Alabama,2.53,24.67,20.26,4.11,64.63,1.19,5.68,4.13,0.47,2.61,1.05,11442
Alabama,1.71,32.3,23.48,3.84,60.8,1.28,6.48,4.12,0.27,2.47,1.38,10710
Alabama,1.6,35,15.7,4.9,67.4,1.7,6.2,4.1,0.01,3.99,0.12,12410
Alabama,2.8,40.5,11.2,5.4,71.1,1.5,6.7,4.1,0.01,3.28,0.85,12868
Alabama,2.2,37.1,11.3,5.2,70.9,1.5,7.1,4.1,0.01,2.71,1.39,12954
Alabama,1.98,34.49,14.2,4.94,68.42,1.45,6.93,4.06,0.29,2.86,0.91,12541
Alabama,2.23,37.18,11.67,5.14,69.61,1.62,7.93,4.03,0.15,2.18,1.7,12630
Alabama,1.17,23.78,15.72,4.27,70.58,1.18,4.23,4.02,0.48,2.43,1.11,12636
Alabama,0.91,35.21,6.8,5.17,76.55,1.82,5.64,4.02,0.23,2.22,1.57,13974
Alabama,1.6,34.3,18.7,4.9,65.9,1.4,5.1,4,0.01,3.41,0.55,12022
Alabama,1.4,32.3,20.6,4.6,64.1,1.6,5.2,4,0.01,3.03,0.92,11631
Alabama,1.2,33.2,18.4,4.7,66.5,1.2,5.3,4,0.03,3.05,0.87,12036
Alabama,2.9,40.4,6.9,5.5,74.9,1.7,7,4,0.02,3.85,0.09,13743
Alabama,1.7,32.8,9.3,5.4,72.3,1.4,7.6,4,0.29,2.65,1.03,13110
Alabama,17.2,26.7,21.9,4.4,45.6,0.9,23.3,4,0.14,2.9,0.96,8182
Alabama,1.05,35.01,10.64,4.99,73.4,1.65,5.37,3.95,0.12,2.21,1.62,13377
Alabama,2.38,39.49,10.15,5.26,70.49,1.73,8.43,3.94,0.14,2.24,1.56,12821
Alabama,1.8,32.2,17.4,4.8,66,1.7,6.2,3.9,0.01,3.66,0.25,12142
